項次,拉丁學名,中文學名,單位,採集日,採集人,保育動物,珍稀植物,IUCN,CITES,經度,緯度,物種代碼,永久識別碼,dataFrom
1,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/5/16 22:46,,是,,,II,120.739,24.536,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17604,biosurvey
2,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/9/26 02:28,,是,,,II,120.724,24.379,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17605,biosurvey
3,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/7/29 19:34,,是,,,II,120.743,24.41,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17622,biosurvey
4,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/8/2 03:00,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17639,biosurvey
5,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/8/17 20:35,,是,,,II,120.745,24.471,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17627,biosurvey
6,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/10/9 23:39,,是,,,II,120.925,24.635,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17675,biosurvey
7,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/8/2 15:58,,是,,,II,120.835,24.441,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17676,biosurvey
8,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/1/20 19:59,,是,,,II,120.916,24.637,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17681,biosurvey
9,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/4/2 00:21,,是,,,II,120.844,24.639,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17597,biosurvey
10,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/4/18 04:36,,是,,,II,120.844,24.635,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17596,biosurvey
11,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/2/3 21:35,,是,,,II,120.861,24.615,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17598,biosurvey
12,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/12/19 17:44,,是,,,II,120.767,24.548,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17600,biosurvey
13,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/5/18 13:04,,是,,,II,120.861,24.615,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17599,biosurvey
14,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/2/8 16:51,,是,,,II,120.767,24.548,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17601,biosurvey
15,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/5/11 07:12,,是,,,II,120.763,24.517,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17602,biosurvey
16,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/5/16 20:35,,是,,,II,120.722,24.559,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17603,biosurvey
17,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/12/27 20:23,,是,,,II,120.727,24.395,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17606,biosurvey
18,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/9/23 01:23,,是,,,II,120.709,24.526,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17608,biosurvey
19,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/7/7 19:57,,是,,,II,120.727,24.395,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17607,biosurvey
20,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/5/14 05:05,,是,,,II,120.735,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17611,biosurvey
21,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2004/10/17 18:17,,是,,,II,120.735,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17609,biosurvey
22,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2004/11/20 17:47,,是,,,II,120.735,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17610,biosurvey
23,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/9/2 03:31,,是,,,II,120.735,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17612,biosurvey
24,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/10/4 01:27,,是,,,II,120.735,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17613,biosurvey
25,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/9/25 16:06,,是,,,II,120.708,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17614,biosurvey
26,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/7/9 03:50,,是,,,II,120.708,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17616,biosurvey
27,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/7/31 10:44,,是,,,II,120.708,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17617,biosurvey
28,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/9/15 09:55,,是,,,II,120.708,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17615,biosurvey
29,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/7/29 04:50,,是,,,II,120.708,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17618,biosurvey
30,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/1/15 20:47,,是,,,II,120.733,24.468,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17620,biosurvey
31,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/6/30 01:36,,是,,,II,120.709,24.526,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17619,biosurvey
32,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/10/3 04:56,,是,,,II,120.733,24.468,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17621,biosurvey
33,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/2/27 09:41,,是,,,II,120.708,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17624,biosurvey
34,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/8/3 01:30,,是,,,II,120.743,24.41,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17623,biosurvey
35,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/7/21 20:37,,是,,,II,120.708,24.522,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17625,biosurvey
36,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/11/11 05:37,,是,,,II,120.708,24.478,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17626,biosurvey
37,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/6/27 17:19,,是,,,II,120.707,24.479,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17628,biosurvey
38,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/4/10 17:53,,是,,,II,120.729,24.481,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17630,biosurvey
39,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/6/27 23:32,,是,,,II,120.707,24.479,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17629,biosurvey
40,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/5/2 04:30,,是,,,II,120.749,24.474,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17631,biosurvey
41,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/4/4 18:17,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17633,biosurvey
42,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/3/10 23:50,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17632,biosurvey
43,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/8/16 22:50,,是,,,II,120.91,24.485,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17634,biosurvey
44,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/7/9 19:36,,是,,,II,120.804,24.369,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17635,biosurvey
45,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/6/29 05:13,,是,,,II,120.772,24.37,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17636,biosurvey
46,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/11/11 04:21,,是,,,II,120.708,24.478,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17637,biosurvey
47,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/7/30 19:16,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17638,biosurvey
48,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/12/11 23:04,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17640,biosurvey
49,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/1/13 17:32,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17641,biosurvey
50,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/1/29 00:32,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17642,biosurvey
51,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/1/21 22:15,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17643,biosurvey
52,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/12/25 14:03,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17644,biosurvey
53,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/1/29 02:17,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17645,biosurvey
54,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/1/11 10:24,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17646,biosurvey
55,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/8/15 20:55,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17647,biosurvey
56,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/7/24 19:14,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17648,biosurvey
57,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/8/10 23:51,,是,,,II,120.757,24.606,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17649,biosurvey
