項次,拉丁學名,中文學名,單位,採集日,採集人,保育動物,珍稀植物,IUCN,CITES,經度,緯度,物種代碼,永久識別碼,dataFrom
58,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/8/16 03:39,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17650,biosurvey
59,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/8/24 04:02,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17651,biosurvey
60,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/8/12 19:27,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17652,biosurvey
61,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/9/30 08:35,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17653,biosurvey
62,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/11/11 17:59,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17654,biosurvey
63,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/11/25 06:59,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17655,biosurvey
64,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/8/1 05:16,,是,,,II,120.773,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17656,biosurvey
65,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/3/19 20:55,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17658,biosurvey
66,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/5/22 17:06,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17659,biosurvey
67,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/6/14 04:15,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17660,biosurvey
68,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/6/14 00:44,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17661,biosurvey
69,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/8/1 01:09,,是,,,II,120.772,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17662,biosurvey
70,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2008/6/24 01:01,,是,,,II,120.871,24.57,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17663,biosurvey
71,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/3/5 03:58,,是,,,II,120.891,24.403,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17665,biosurvey
72,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/9/12 04:59,,是,,,II,120.881,24.394,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17666,biosurvey
73,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/2/21 16:37,,是,,,II,120.891,24.403,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17664,biosurvey
74,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/9/18 03:32,,是,,,II,120.881,24.394,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17667,biosurvey
75,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/7/15 23:07,,是,,,II,120.773,24.604,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17668,biosurvey
76,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/11/3 05:02,,是,,,II,120.949,24.658,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17669,biosurvey
77,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/11/25 19:53,,是,,,II,120.949,24.658,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17670,biosurvey
78,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/8/25 23:56,,是,,,II,120.932,24.645,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17671,biosurvey
79,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/10/15 02:59,,是,,,II,120.934,24.645,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17673,biosurvey
80,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2007/9/30 04:40,,是,,,II,120.934,24.645,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17674,biosurvey
81,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/10/8 20:04,,是,,,II,120.835,24.441,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17678,biosurvey
82,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/9/26 20:26,,是,,,II,120.835,24.441,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17677,biosurvey
83,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/11/17 06:38,,是,,,II,120.935,24.665,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17679,biosurvey
84,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/11/23 20:57,,是,,,II,120.927,24.673,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17680,biosurvey
85,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/2/24 21:06,,是,,,II,120.767,24.548,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17682,biosurvey
86,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/6/9 01:27,,是,,,II,120.767,24.548,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17683,biosurvey
87,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/4/15 20:34,,是,,,II,120.781,24.527,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17684,biosurvey
88,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/12/28 21:18,,是,,,II,120.815,24.411,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17687,biosurvey
89,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2006/5/14 03:37,,是,,,II,120.781,24.527,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17685,biosurvey
90,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2005/8/17 19:17,,是,,,II,120.839,24.408,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:17686,biosurvey
91,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,,許彰敏,是,,,II,120.872,22.598,416107,urn:lsid:ngis.forest.gov.tw:forest_resource:1183,forest_resource
92,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,,許彰敏,是,,,II,120.901,22.679,416107,urn:lsid:ngis.forest.gov.tw:forest_resource:1182,forest_resource
93,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,,紀金秋,是,,,II,120.971,24.467,416107,urn:lsid:ngis.forest.gov.tw:forest_resource:1181,forest_resource
94,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,,許彰敏,是,,,II,120.93,22.679,416107,urn:lsid:ngis.forest.gov.tw:forest_resource:1180,forest_resource
95,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/4/3 07:00,陳美汀,,,,,120.757,24.497,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24720,biosurvey
96,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/4/5 08:00,陳美汀,,,,,120.744,24.505,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24721,biosurvey
97,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/4/11 07:00,陳美汀,,,,,120.7,24.531,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24722,biosurvey
98,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/4/11 09:00,陳美汀,,,,,120.741,24.49,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24723,biosurvey
99,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/3/21 21:00,陳美汀,,,,,120.791,24.551,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24724,biosurvey
100,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/1/2 17:00,陳美汀,,,,,120.839,24.408,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24725,biosurvey
101,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/2/26 20:00,陳美汀,,,,,120.789,24.416,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24726,biosurvey
102,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/10/31 05:00,陳美汀,,,,,120.815,24.412,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24727,biosurvey
103,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/7/27 18:00,陳美汀,,,,,120.878,24.31,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24728,biosurvey
104,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/7/15 16:00,陳美汀,,,,,120.847,24.338,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24729,biosurvey
105,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/8/19 03:00,陳美汀,,,,,120.84,24.323,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24730,biosurvey
106,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/3/9 19:00,陳美汀,,,,,120.762,24.587,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24731,biosurvey
107,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/11/17 01:00,陳美汀,,,,,120.773,24.601,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24732,biosurvey
108,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/3/18 20:00,陳美汀,,,,,120.786,24.385,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24733,biosurvey
109,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/2/27 23:00,陳美汀,,,,,120.804,24.369,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24734,biosurvey
110,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/4/3 21:00,陳美汀,,,,,120.766,24.475,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24735,biosurvey
111,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/9/25 16:00,陳美汀,,,,,120.751,24.421,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24736,biosurvey
112,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/11/12 20:00,陳美汀,,,,,120.749,24.414,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24737,biosurvey
113,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/5/29 13:00,陳美汀,,,,,120.735,24.521,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24738,biosurvey
114,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/8/6 04:00,陳美汀,,,,,120.724,24.379,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24739,biosurvey
115,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/5/23 00:00,陳美汀,,,,,120.715,24.386,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24740,biosurvey
116,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/4/2 19:00,陳美汀,,,,,120.716,24.381,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24741,biosurvey
